2.65559:1.1051 2.26945:1.01771 1.22836:0.789596 
2.26945:1.01771 2.30896:0.350175 1.2138:0.566466 
1.14263:2.61139 0.910213:2.62849 1.89765:2.91741 
1.01319:2.77474 0.950557:1.33133 2.11975:1.64836 
1.20832:0.772435 1.57636:0.326944 1.7178:2.63706 
1.23156:0.196205 1.63789:0.396498 1.72284:0.190217 
1.28379:0.208893 2.47707:2.86657 1.12665:0.0522444 
2.47707:2.86657 2.42719:2.74849 1.69567:2.58545 
0.637478:2.94439 1.70876:1.62429 0.713587:2.75772 
1.12006:2.2444 1.01713:2.5163 1.63885:0.613364 
2.44677:0.246831 1.87368:1.4974 1.5533:1.95718 
0.849344:1.83855 1.52272:1.86408 1.53997:1.32723 
0.283904:2.77952 0.357266:2.48319 3.05033:0.939675 
1.50678:0.207921 1.8927:0.17957 1.20666:0.145644 
1.35268:0.978257 1.5467:1.08187 1.48933:2.03315 
1.87632:1.53176 2.1157:1.89863 2.16984:1.0073 
2.1157:1.89863 2.57419:1.53688 2.38224:1.0088 
0.577973:1.07931 0.725817:1.18995 0.380308:0.997488 
2.45845:0.132609 2.21576:0.824823 2.83405:1.42392 
2.21576:0.824823 2.66177:0.291602 0.556877:2.61282 
2.85406:1.51882 0.999319:1.63271 2.78524:1.76579 
0.999319:1.63271 1.02565:1.60065 0.770576:2.58335 
1.11303:2.28496 1.55927:2.55695 0.895459:2.4488 
2.29239:0.83348 1.88533:2.76609 1.00861:0.251136 
1.29862:2.77196 1.1007:0.75262 1.97274:2.8645 
1.2451:2.11714 1.30328:2.26153 1.59189:1.17266 
2.75879:0.55264 2.91125:1.57349 2.70701:1.39729 
1.94036:0.529987 2.15205:2.79511 1.23732:0.162723 
0.758833:0.131503 1.49506:0.412571 0.908651:0.597297 
2.16516:1.01 1.58892:1.67017 1.46753:1.99073 
0.921884:2.37994 1.09836:2.2106 1.69365:1.09082 
1.61714:2.38044 0.649164:2.53534 0.966067:2.31693 
1.22196:1.42246 1.96458:2.52354 2.13394:1.15428 
2.14934:2.69171 1.14906:1.35656 2.15363:2.21944 
2.37894:1.36892 1.3736:0.498985 2.20571:2.55183 
1.3736:0.498985 1.28324:0.510283 1.01351:2.22916 
2.20571:2.55183 1.86922:2.93812 1.86649:0.162706 
1.49979:0.855604 1.13341:0.104788 1.09842:0.761836 
0.818156:0.918443 0.128639:2.7882 2.70094:2.81596 
2.13458:2.34882 2.35016:2.37701 0.502734:0.296797 
2.20025:2.52301 1.89523:2.13941 0.912442:2.38456 
