1.09351:0.899041 1.8052:3.11305 1.28379:0.208893 0.807658:0.65811 
2.42719:2.74849 0.581896:2.67296 0.637478:2.94439 2.17141:0.0659374 
1.83788:0.0188337 1.8351:0.522618 2.57096:0.926961 2.27731:0.545024 
2.12094:0.402122 1.41269:2.73945 2.20761:0.401374 2.06294:0.603759 
2.06294:0.603759 2.64322:0.556352 0.133757:0.792153 0.825036:2.23041 
1.28029:0.798845 0.667848:1.01636 2.54765:1.69851 1.04612:1.41958 
2.13851:0.684855 0.267953:1.85041 2.85406:1.51882 2.22152:1.35429 
1.02565:1.60065 1.00089:1.78932 1.11303:2.28496 2.49476:1.20824 
0.592343:0.87413 0.786617:0.623545 2.65168:2.24898 0.576319:3.03835 
2.60535:2.07026 2.68457:2.24717 1.94075:0.703944 2.37632:1.60518 
2.57703:1.55642 0.284529:0.982988 2.42333:1.55991 2.51983:2.08627 
2.51983:2.08627 2.06851:1.47344 1.29202:1.64381 1.02373:1.28062 
2.50054:3.13597 1.9707:2.52588 1.4405:0.57388 1.76625:2.92624 
2.4411:2.55166 1.7126:0.978744 2.13872:1.32089 2.47208:2.82452 
1.29946:1.07654 0.855277:2.29241 2.12556:1.45618 1.09544:1.58657 
0.626446:2.00829 2.24167:0.972188 1.11769:1.92766 1.85913:1.07316 
0.649164:2.53534 1.01354:1.61452 2.0956:1.93296 1.5267:2.05205 
2.46603:2.68075 0.983561:0.99029 2.07026:1.61368 2.29736:2.58058 
1.72405:2.93762 0.645205:1.2714 2.83342:0.870477 1.57844:2.93772 
1.97008:2.16332 0.586534:0.288043 2.52226:1.14516 1.79559:2.21178 
1.01042:1.90379 0.883532:0.963649 2.55573:2.16013 2.39037:0.518616 
1.89523:2.13941 0.535972:1.67503 0.65355:2.07336 0.452914:3.08503 
1.8554:2.18416 2.35153:0.950564 0.544298:1.63421 1.98888:2.36008 
1.37044:2.95145 2.13017:1.38945 1.38504:1.35387 1.34433:3.11192 
1.97086:2.89386 1.96213:1.25614 0.898679:1.40949 1.94059:3.01578 
2.55787:1.65932 0.572469:1.92113 0.777881:2.53093 2.1996:1.29479 
